,date,school_day,holiday
0,2015-01-01,N,Y
1,2015-01-02,N,N
2,2015-01-03,N,N
3,2015-01-04,N,N
4,2015-01-05,N,N
5,2015-01-06,N,N
6,2015-01-07,N,N
7,2015-01-08,N,N
8,2015-01-09,N,N
9,2015-01-10,N,N
10,2015-01-11,N,N
11,2015-01-12,N,N
12,2015-01-13,N,N
13,2015-01-14,N,N
14,2015-01-15,N,N
15,2015-01-16,N,N
16,2015-01-17,N,N
17,2015-01-18,N,N
18,2015-01-19,N,N
19,2015-01-20,N,N
20,2015-01-21,N,N
21,2015-01-22,N,N
22,2015-01-23,N,N
23,2015-01-24,N,N
24,2015-01-25,N,N
25,2015-01-26,N,Y
26,2015-01-27,N,N
27,2015-01-28,N,N
28,2015-01-29,Y,N
29,2015-01-30,Y,N
30,2015-01-31,Y,N
31,2015-02-01,Y,N
32,2015-02-02,Y,N
33,2015-02-03,Y,N
34,2015-02-04,Y,N
35,2015-02-05,Y,N
36,2015-02-06,Y,N
37,2015-02-07,Y,N
38,2015-02-08,Y,N
39,2015-02-09,Y,N
40,2015-02-10,Y,N
41,2015-02-11,Y,N
42,2015-02-12,Y,N
43,2015-02-13,Y,N
44,2015-02-14,Y,N
45,2015-02-15,Y,N
46,2015-02-16,Y,N
47,2015-02-17,Y,N
48,2015-02-18,Y,N
49,2015-02-19,Y,N
50,2015-02-20,Y,N
51,2015-02-21,Y,N
52,2015-02-22,Y,N
53,2015-02-23,Y,N
54,2015-02-24,Y,N
55,2015-02-25,Y,N
56,2015-02-26,Y,N
57,2015-02-27,Y,N
58,2015-02-28,Y,N
59,2015-03-01,Y,N
60,2015-03-02,Y,N
61,2015-03-03,Y,N
62,2015-03-04,Y,N
63,2015-03-05,Y,N
64,2015-03-06,Y,N
65,2015-03-07,Y,N
66,2015-03-08,Y,N
67,2015-03-09,Y,Y
68,2015-03-10,Y,N
69,2015-03-11,Y,N
70,2015-03-12,Y,N
71,2015-03-13,Y,N
72,2015-03-14,Y,N
73,2015-03-15,Y,N
74,2015-03-16,Y,N
75,2015-03-17,Y,N
76,2015-03-18,Y,N
77,2015-03-19,Y,N
78,2015-03-20,Y,N
79,2015-03-21,Y,N
80,2015-03-22,Y,N
81,2015-03-23,Y,N
82,2015-03-24,Y,N
83,2015-03-25,Y,N
84,2015-03-26,Y,N
85,2015-03-27,N,N
86,2015-03-28,N,N
87,2015-03-29,N,N
88,2015-03-30,N,N
89,2015-03-31,N,N
90,2015-04-01,N,N
