,date,min_temperature,max_temperature,solar_exposure,rainfall
0,2015-01-01,13.3,26.9,23.6,0.0
1,2015-01-02,15.4,38.8,26.8,0.0
2,2015-01-03,20.0,38.2,26.5,0.0
3,2015-01-04,16.3,21.4,25.2,4.2
4,2015-01-05,15.0,22.0,30.7,0.0
5,2015-01-06,17.7,26.0,31.6,0.0
6,2015-01-07,18.9,37.4,20.7,0.0
7,2015-01-08,23.1,28.2,13.5,19.4
8,2015-01-09,16.5,18.0,3.1,1.2
9,2015-01-10,13.6,21.7,5.6,5.2
10,2015-01-11,15.6,27.5,29.9,0.0
11,2015-01-12,16.1,31.3,31.6,0.0
12,2015-01-13,20.2,25.6,4.2,0.0
13,2015-01-14,18.3,22.7,15.2,15.8
14,2015-01-15,15.8,20.0,14.6,0.0
15,2015-01-16,13.1,27.3,30.3,0.0
16,2015-01-17,15.9,25.0,27.5,0.0
17,2015-01-18,15.3,19.5,23.4,0.0
18,2015-01-19,13.5,23.6,29.0,0.0
19,2015-01-20,13.0,30.4,19.6,0.0
20,2015-01-21,19.7,33.1,25.8,0.0
21,2015-01-22,18.7,35.8,23.1,0.0
22,2015-01-23,20.2,25.0,28.6,0.0
23,2015-01-24,15.8,26.3,30.3,0.0
24,2015-01-25,14.7,22.0,25.4,0.0
25,2015-01-26,11.6,19.8,19.9,1.0
26,2015-01-27,11.7,19.1,17.7,0.6
27,2015-01-28,13.3,25.4,27.0,0.0
28,2015-01-29,12.8,22.2,28.9,0.0
29,2015-01-30,13.1,21.0,27.6,0.0
30,2015-01-31,14.3,20.2,26.2,0.0
31,2015-02-01,13.2,19.0,17.3,9.2
32,2015-02-02,13.5,21.1,23.9,3.8
33,2015-02-03,16.1,20.0,22.7,0.0
34,2015-02-04,14.8,19.0,21.2,0.0
35,2015-02-05,13.3,24.2,28.8,0.0
36,2015-02-06,14.5,35.7,28.4,0.0
37,2015-02-07,18.8,35.0,16.1,0.0
38,2015-02-08,18.9,21.5,16.6,0.0
39,2015-02-09,13.6,28.3,28.6,0.0
40,2015-02-10,16.4,27.8,27.7,0.0
41,2015-02-11,18.1,26.8,24.1,0.0
42,2015-02-12,17.8,21.9,23.8,0.0
43,2015-02-13,16.1,32.4,14.9,0.0
44,2015-02-14,19.0,25.1,20.8,19.6
45,2015-02-15,18.2,34.4,25.7,0.4
46,2015-02-16,17.4,24.6,26.3,0.0
47,2015-02-17,17.6,20.6,8.3,0.0
48,2015-02-18,17.7,21.2,7.8,0.0
49,2015-02-19,18.2,26.9,24.7,0.0
50,2015-02-20,17.4,25.3,24.7,0.0
