city_name,date,pm2_5,pm_2_5_previous_1_day,pm_2_5_previous_2_day,pm_2_5_previous_3_day,pm_2_5_previous_4_day,pm_2_5_previous_5_day,pm_2_5_previous_6_day,pm_2_5_previous_7_day,mean_7_days,mean_14_days,mean_28_days,std_7_days,exp_mean_7_days,exp_std_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,std_28_days,exp_mean_28_days,exp_std_28_days,year,day_of_month,month,day_of_week,is_weekend,sin_day_of_year,cos_day_of_year,sin_day_of_week,cos_day_of_week,unix_time,temperature_max,temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_max,wind_gusts_max,wind_direction_dominant
Albuquerque,2023-02-21,12.2,12.9,12.3,22.1,14.2,5.2,3.7,3.3,10.528571428571428,12.514285714285714,10.967857142857143,6.872824331067569,12.94969367546899,6.143707260715019,7.118216840544472,12.255177341747883,6.495617530012711,5.776199799780461,11.22893195173976,6.279438722636669,2023,21,2,1,0,0.7802958510707755,0.6254105729852464,0.7818314824680297,0.6234898018587336,1676934000000,13.9,3.7,0.5,0.5,0.0,3.0,26.3,50.0,259
Albuquerque,2023-02-22,3.5,12.2,12.9,12.3,22.1,14.2,5.2,3.7,11.8,12.907142857142858,11.22857142857143,6.091524166139932,12.762270256601745,5.332147837580222,6.921701023227238,12.247820362848167,6.047122155153669,5.655666260181954,11.295902161964603,6.06421778167464,2023,22,2,2,0,0.7909456567567772,0.6118864012687244,0.9749279121818236,-0.22252093395631434,1677020400000,13.1,3.0,0.9,0.9,0.0,4.0,57.6,95.8,220
Albuquerque,2023-02-23,4.1,3.5,12.2,12.9,12.3,22.1,14.2,5.2,11.771428571428572,12.25,11.082142857142857,6.136153595892224,10.446702692451307,6.331693014184131,7.365381602730851,11.08144431446841,6.4198930246857016,5.8042164476721805,10.758253737001526,6.187525363837759,2023,23,2,3,0,0.8013610881746764,0.5981809144059165,0.43388373911755823,-0.900968867902419,1677106800000,11.3,-1.6,0.0,0.0,0.0,0.0,33.1,54.4,252
Albuquerque,2023-02-24,9.3,4.1,3.5,12.2,12.9,12.3,22.1,14.2,11.614285714285714,12.071428571428571,10.914285714285715,6.343087726396509,8.86002701933848,6.235314045031673,7.541110770195036,10.150585072539288,6.464145889954402,5.93905556064099,10.29906382410487,6.212653872815055,2023,24,2,4,0,0.811539059007361,0.5842981736283684,-0.433883739117558,-0.9009688679024191,1677193200000,12.1,-0.1,0.0,0.0,0.0,0.0,26.8,47.9,239
Albuquerque,2023-02-25,10.1,9.3,4.1,3.5,12.2,12.9,12.3,22.1,10.914285714285713,11.635714285714286,10.875,6.280241123669432,8.97002026450386,5.4038597991679955,7.510157956226517,10.037173729534048,6.02526840930108,5.946217284963586,10.23016287071833,6.000138677912314,2023,25,2,5,1,0.8214765533024142,0.5702422926917872,-0.9749279121818235,-0.2225209339563146,1677279600000,14.4,1.4,0.0,0.0,0.0,0.0,17.3,27.4,302
Albuquerque,2023-02-26,10.6,10.1,9.3,4.1,3.5,12.2,12.9,12.3,9.200000000000001,10.428571428571429,10.74642857142857,3.907684736515997,9.252515198377894,4.70962709814946,6.070917884146013,10.045550565596175,5.60926341123166,5.921741619618635,10.221186121013616,5.789638927664624,2023,26,2,6,1,0.8311706263658079,0.5560174366570446,-0.7818314824680299,0.6234898018587334,1677366000000,13.8,3.1,1.1,1.1,0.0,4.0,51.7,86.4,239
Albuquerque,2023-02-27,5.8,10.6,10.1,9.3,4.1,3.5,12.2,12.9,8.957142857142857,9.735714285714286,10.660714285714286,3.731781139910346,9.58938639878342,4.127060488112222,5.3708052888323365,10.119477156850017,5.225601770829732,5.905260635619982,10.247311216116124,5.5872851775564225,2023,27,2,0,0,0.8406184056344781,0.5416278206559814,0.0,1.0,1677452400000,9.8,-3.9,0.0,0.0,0.0,0.0,41.8,72.4,279
Albuquerque,2023-02-28,5.1,5.8,10.6,10.1,9.3,4.1,3.5,12.2,7.942857142857142,9.235714285714286,10.671428571428569,3.4345582650743536,8.642039799087565,3.989436142394858,5.389392308094615,9.543546869270015,5.09782913517014,5.895815034465945,9.940600097763287,5.511969786850571,2023,28,2,1,0,0.8498170915275278,0.5270777086423722,0.7818314824680297,0.6234898018587336,1677538800000,12.2,-1.3,0.0,0.0,0.0,0.0,27.8,50.0,258
Albuquerque,2023-03-01,6.9,5.1,5.8,10.6,10.1,9.3,4.1,3.5,6.928571428571429,9.364285714285714,10.475,2.98703547892907,7.7565298493156725,3.831598634994581,5.256732992861793,8.951073953367347,4.997997872323651,5.989164598889594,9.606765608262371,5.4632179303851185,2023,1,3,2,0,0.8587639582758029,0.5123714121284237,0.9749279121818236,-0.22252093395631434,1677625200000,13.8,-0.2,0.0,0.0,0.0,0.0,32.4,56.9,251
Albuquerque,2023-03-02,7.4,6.9,5.1,5.8,10.6,10.1,9.3,4.1,7.414285714285714,9.592857142857143,10.503571428571428,2.586135193313627,7.542397386986755,3.3423562893189454,5.057281769992536,8.677597426251701,4.708804969809306,5.969396156747367,9.420092118037381,5.317538103278128,2023,2,3,3,0,0.8674563547295968,0.4975132889071807,0.43388373911755823,-0.900968867902419,1677711600000,13.1,0.8,4.4,2.5,1.33,10.0,32.9,60.8,304
Albuquerque,2023-03-03,9.6,7.4,6.9,5.1,5.8,10.6,10.1,9.3,7.885714285714286,9.75,10.496428571428572,2.1443169630666348,7.506798040240067,2.895331547642377,4.943177115985218,8.507251102751473,4.406766399608411,5.97311768849691,9.2807754202417,5.1573109196041695,2023,3,3,4,0,0.8758917051442429,0.48250774176121847,-0.433883739117558,-0.9009688679024191,1677798000000,11.2,-3.1,0.0,0.0,0.0,0.0,34.9,60.5,293
Albuquerque,2023-03-04,9.4,9.6,7.4,6.9,5.1,5.8,10.6,10.1,7.928571428571429,9.421428571428573,10.4,2.179995631275675,8.03009853018005,2.6917764557592623,4.7746411176336325,8.652950955717943,4.120547360570334,5.964711038916935,9.302790908500892,4.976977654607133,2023,4,3,5,1,0.8840675099433636,0.4673592171580022,-0.9749279121818235,-0.2225209339563146,1677884400000,14.6,-1.4,0.0,0.0,0.0,0.0,21.1,40.7,257
Albuquerque,2023-03-05,5.7,9.4,9.6,7.4,6.9,5.1,5.8,10.6,7.828571428571429,8.514285714285714,10.171428571428573,2.0774297306321485,8.372573897635037,2.417593470050728,3.0896495053539663,8.752557494955552,3.8450625546565096,5.872021365818989,9.309494983776693,4.802357628715075,2023,5,3,6,1,0.8919813464595485,0.45207220393230435,-0.7818314824680299,0.6234898018587334,1677970800000,18.0,4.1,0.0,0.0,0.0,0.0,25.7,45.0,226
Albuquerque,2023-03-06,7.7,5.7,9.4,9.6,7.4,6.9,5.1,5.8,7.128571428571428,8.042857142857143,9.950000000000001,1.79417045429014,7.7044304232262775,2.438446964403054,2.9687382157082376,8.345549828961477,3.7380242451377566,5.921117261938782,9.060564295240368,4.726483133200155,2023,6,3,0,0,0.8996308696522433,0.43665123195606403,0.0,1.0,1678057200000,19.1,6.8,0.0,0.0,0.0,0.0,25.1,41.0,231
Albuquerque,2023-03-07,8.6,7.7,5.7,9.4,9.6,7.4,6.9,5.1,7.4,7.671428571428572,10.092857142857142,1.7009801096230976,7.703322817419708,2.111758033587663,2.6189923404089623,8.259476518433281,3.4873546124681654,5.811988158040769,8.966732274878963,4.574083521295416,2023,7,3,1,0,0.9070138128026359,0.4211008707960896,0.7818314824680297,0.6234898018587336,1678143600000,19.4,6.5,0.0,0.0,0.0,0.0,23.4,38.5,215
Albuquerque,2023-03-08,7.0,8.6,7.7,5.7,9.4,9.6,7.4,6.9,7.9,7.414285714285714,10.160714285714286,1.4000000000000274,7.9274921130647815,1.8763056920985857,2.297107593627959,8.304879649308843,3.248772077376679,5.781921972244305,8.941440393852828,4.414553483836906,2023,8,3,2,0,0.9141279881853337,0.40542572835999735,0.9749279121818236,-0.22252093395631434,1678230000000,21.4,5.1,0.0,0.0,0.0,0.0,27.3,53.6,201
Albuquerque,2023-03-09,5.9,7.0,8.6,7.7,5.7,9.4,9.6,7.4,7.9142857142857155,7.664285714285714,9.957142857142857,1.3885586909077035,7.695619084798587,1.6818353492485048,2.0109726475044174,8.130895696067663,3.0592717414238852,5.789545403469583,8.80754795289746,4.2889676592359764,2023,9,3,3,0,0.9209712877166346,0.38963044953078796,0.43388373911755823,-0.900968867902419,1678316400000,21.1,6.2,0.0,0.0,0.0,0.0,27.5,50.8,269
