city_name,date,pm2_5
Amsterdam,2013-01-01,14.0
Amsterdam,2013-01-02,8.0
Amsterdam,2013-01-03,12.0
Amsterdam,2013-01-04,12.0
Amsterdam,2013-01-05,14.0
Amsterdam,2013-01-06,13.0
Amsterdam,2013-01-07,17.0
Amsterdam,2013-01-08,17.0
Amsterdam,2013-01-09,11.0
Amsterdam,2013-01-10,7.0
Amsterdam,2013-01-11,12.0
Amsterdam,2013-01-12,16.0
Amsterdam,2013-01-13,15.0
Amsterdam,2013-01-14,25.0
Amsterdam,2013-01-15,26.0
Amsterdam,2013-01-16,35.0
Amsterdam,2013-01-17,46.0
Amsterdam,2013-01-18,31.0
Amsterdam,2013-01-19,23.0
Amsterdam,2013-01-20,21.0
Amsterdam,2013-01-21,47.0
Amsterdam,2013-01-22,34.0
Amsterdam,2013-01-23,45.0
Amsterdam,2013-01-24,27.0
Amsterdam,2013-01-25,34.0
Amsterdam,2013-01-26,31.0
Amsterdam,2013-01-27,15.0
Amsterdam,2013-01-28,8.0
Amsterdam,2013-01-29,7.0
Amsterdam,2013-01-30,6.0
Amsterdam,2013-01-31,9.0
Amsterdam,2013-02-01,8.0
Amsterdam,2013-02-02,5.0
Amsterdam,2013-02-03,7.0
Amsterdam,2013-02-04,8.0
Amsterdam,2013-02-05,6.0
Amsterdam,2013-02-06,11.0
Amsterdam,2013-02-07,6.0
Amsterdam,2013-02-08,10.0
Amsterdam,2013-02-09,13.0
Amsterdam,2013-02-10,19.0
Amsterdam,2013-02-11,21.0
Amsterdam,2013-02-12,34.0
Amsterdam,2013-02-13,20.0
Amsterdam,2013-02-14,38.0
Amsterdam,2013-02-15,15.0
Amsterdam,2013-02-16,15.0
Amsterdam,2013-02-17,23.0
Amsterdam,2013-02-18,36.0
Amsterdam,2013-02-19,27.0
Amsterdam,2013-02-20,9.0
Amsterdam,2013-02-21,10.0
Amsterdam,2013-02-22,15.0
Amsterdam,2013-02-23,30.0
Amsterdam,2013-02-24,19.0
Amsterdam,2013-02-25,33.0
Amsterdam,2013-02-26,41.0
Amsterdam,2013-02-27,31.0
Amsterdam,2013-02-28,26.0
Amsterdam,2013-03-01,9.0
Amsterdam,2013-03-02,6.0
Amsterdam,2013-03-03,8.0
Amsterdam,2013-03-04,20.0
Amsterdam,2013-03-05,28.0
Amsterdam,2013-03-06,34.0
Amsterdam,2013-03-07,51.0
Amsterdam,2013-03-08,60.0
Amsterdam,2013-03-09,14.0
Amsterdam,2013-03-10,16.0
Amsterdam,2013-03-11,9.0
Amsterdam,2013-03-12,11.0
Amsterdam,2013-03-13,13.0
Amsterdam,2013-03-14,10.0
Amsterdam,2013-03-15,20.0
Amsterdam,2013-03-16,18.0
Amsterdam,2013-03-17,14.0
Amsterdam,2013-03-18,16.0
Amsterdam,2013-03-19,50.0
Amsterdam,2013-03-20,27.0
Amsterdam,2013-03-21,19.0
Amsterdam,2013-03-22,24.0
Amsterdam,2013-03-23,19.0
