city_name,date,pm2_5
NORTH BEND - NORTH BEND WAY,2013-01-01,4.7
NORTH BEND - NORTH BEND WAY,2013-01-02,2.8
NORTH BEND - NORTH BEND WAY,2013-01-03,3.2
NORTH BEND - NORTH BEND WAY,2013-01-04,4.3
NORTH BEND - NORTH BEND WAY,2013-01-05,5.3
NORTH BEND - NORTH BEND WAY,2013-01-06,3.2
NORTH BEND - NORTH BEND WAY,2013-01-07,1.7
NORTH BEND - NORTH BEND WAY,2013-01-08,2.2
NORTH BEND - NORTH BEND WAY,2013-01-09,2.2
NORTH BEND - NORTH BEND WAY,2013-01-10,8.4
NORTH BEND - NORTH BEND WAY,2013-01-11,13.8
NORTH BEND - NORTH BEND WAY,2013-01-12,10.4
NORTH BEND - NORTH BEND WAY,2013-01-13,10.1
NORTH BEND - NORTH BEND WAY,2013-01-14,14.0
NORTH BEND - NORTH BEND WAY,2013-01-15,18.3
NORTH BEND - NORTH BEND WAY,2013-01-16,22.2
NORTH BEND - NORTH BEND WAY,2013-01-17,15.9
NORTH BEND - NORTH BEND WAY,2013-01-18,15.6
NORTH BEND - NORTH BEND WAY,2013-01-19,10.2
NORTH BEND - NORTH BEND WAY,2013-01-20,12.1
NORTH BEND - NORTH BEND WAY,2013-01-21,10.8
NORTH BEND - NORTH BEND WAY,2013-01-22,4.8
NORTH BEND - NORTH BEND WAY,2013-01-23,5.5
NORTH BEND - NORTH BEND WAY,2013-01-24,2.5
NORTH BEND - NORTH BEND WAY,2013-01-25,4.8
NORTH BEND - NORTH BEND WAY,2013-01-26,2.6
NORTH BEND - NORTH BEND WAY,2013-01-27,3.2
NORTH BEND - NORTH BEND WAY,2013-01-28,6.0
NORTH BEND - NORTH BEND WAY,2013-01-29,4.8
NORTH BEND - NORTH BEND WAY,2013-01-30,3.8
NORTH BEND - NORTH BEND WAY,2013-01-31,5.9
NORTH BEND - NORTH BEND WAY,2013-02-01,6.5
NORTH BEND - NORTH BEND WAY,2013-02-02,7.0
NORTH BEND - NORTH BEND WAY,2013-02-03,9.8
NORTH BEND - NORTH BEND WAY,2013-02-04,3.6
NORTH BEND - NORTH BEND WAY,2013-02-05,4.5
NORTH BEND - NORTH BEND WAY,2013-02-06,1.8
NORTH BEND - NORTH BEND WAY,2013-02-07,4.3
NORTH BEND - NORTH BEND WAY,2013-02-08,9.2
NORTH BEND - NORTH BEND WAY,2013-02-09,10.1
NORTH BEND - NORTH BEND WAY,2013-02-10,10.0
NORTH BEND - NORTH BEND WAY,2013-02-11,8.8
NORTH BEND - NORTH BEND WAY,2013-02-12,3.0
NORTH BEND - NORTH BEND WAY,2013-02-13,5.0
NORTH BEND - NORTH BEND WAY,2013-02-14,3.6
NORTH BEND - NORTH BEND WAY,2013-02-15,6.4
NORTH BEND - NORTH BEND WAY,2013-02-16,3.0
NORTH BEND - NORTH BEND WAY,2013-02-17,4.7
NORTH BEND - NORTH BEND WAY,2013-02-18,4.3
NORTH BEND - NORTH BEND WAY,2013-02-19,5.0
NORTH BEND - NORTH BEND WAY,2013-02-20,4.9
NORTH BEND - NORTH BEND WAY,2013-02-21,2.5
NORTH BEND - NORTH BEND WAY,2013-02-22,3.1
NORTH BEND - NORTH BEND WAY,2013-02-23,4.6
NORTH BEND - NORTH BEND WAY,2013-02-24,3.6
NORTH BEND - NORTH BEND WAY,2013-02-25,3.3
NORTH BEND - NORTH BEND WAY,2013-02-26,3.7
NORTH BEND - NORTH BEND WAY,2013-02-27,3.6
NORTH BEND - NORTH BEND WAY,2013-02-28,2.1
NORTH BEND - NORTH BEND WAY,2013-03-01,2.2
NORTH BEND - NORTH BEND WAY,2013-03-02,3.1
NORTH BEND - NORTH BEND WAY,2013-03-03,4.0
NORTH BEND - NORTH BEND WAY,2013-03-04,2.1
NORTH BEND - NORTH BEND WAY,2013-03-05,2.3
NORTH BEND - NORTH BEND WAY,2013-03-06,3.8
