date,city_name,pm2_5
2013-01-01,Albuquerque,6.8
2013-01-02,Albuquerque,8.4
2013-01-03,Albuquerque,7.8
2013-01-04,Albuquerque,9.2
2013-01-05,Albuquerque,12.2
2013-01-06,Albuquerque,13.9
2013-01-07,Albuquerque,12.3
2013-01-08,Albuquerque,5.3
2013-01-09,Albuquerque,7.4
2013-01-10,Albuquerque,10.6
2013-01-11,Albuquerque,5.1
2013-01-12,Albuquerque,4.4
2013-01-13,Albuquerque,9.5
2013-01-14,Albuquerque,8.8
2013-01-15,Albuquerque,6.1
2013-01-16,Albuquerque,8.1
2013-01-17,Albuquerque,12.4
2013-01-18,Albuquerque,12.3
2013-01-19,Albuquerque,9.1
2013-01-20,Albuquerque,7.5
2013-01-21,Albuquerque,7.1
2013-01-22,Albuquerque,10.9
2013-01-23,Albuquerque,11.4
2013-01-24,Albuquerque,16.1
2013-01-25,Albuquerque,7.6
2013-01-26,Albuquerque,7.7
2013-01-27,Albuquerque,2.4
2013-01-28,Albuquerque,3.0
2013-01-29,Albuquerque,2.5
2013-01-30,Albuquerque,3.4
2013-01-31,Albuquerque,6.0
2013-02-01,Albuquerque,5.9
2013-02-02,Albuquerque,5.3
2013-02-03,Albuquerque,5.9
2013-02-04,Albuquerque,4.6
2013-02-05,Albuquerque,7.5
2013-02-06,Albuquerque,7.1
2013-02-07,Albuquerque,6.3
2013-02-08,Albuquerque,10.3
2013-02-09,Albuquerque,6.0
2013-02-10,Albuquerque,4.5
2013-02-11,Albuquerque,6.2
2013-02-12,Albuquerque,4.5
2013-02-13,Albuquerque,4.7
2013-02-14,Albuquerque,5.3
2013-02-15,Albuquerque,5.8
2013-02-16,Albuquerque,4.8
2013-02-17,Albuquerque,6.6
2013-02-18,Albuquerque,4.9
2013-02-19,Albuquerque,10.6
2013-02-20,Albuquerque,4.9
2013-02-21,Albuquerque,3.5
2013-02-22,Albuquerque,3.9
2013-02-23,Albuquerque,5.8
2013-02-24,Albuquerque,2.8
2013-02-25,Albuquerque,4.3
2013-02-26,Albuquerque,5.4
2013-02-27,Albuquerque,6.0
2013-02-28,Albuquerque,6.7
2013-03-01,Albuquerque,4.2
2013-03-02,Albuquerque,3.8
2013-03-03,Albuquerque,5.5
2013-03-04,Albuquerque,4.8
2013-03-05,Albuquerque,5.4
2013-03-06,Albuquerque,7.2
2013-03-07,Albuquerque,7.8
2013-03-08,Albuquerque,4.4
2013-03-09,Albuquerque,1.8
2013-03-10,Albuquerque,4.2
2013-03-11,Albuquerque,5.3
2013-03-12,Albuquerque,4.3
2013-03-13,Albuquerque,5.9
