city_name,date,pm2_5,pm_2_5_previous_1_day,pm_2_5_previous_2_day,pm_2_5_previous_3_day,pm_2_5_previous_4_day,pm_2_5_previous_5_day,pm_2_5_previous_6_day,pm_2_5_previous_7_day,mean_7_days,mean_14_days,mean_28_days,std_7_days,exp_mean_7_days,exp_std_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,std_28_days,exp_mean_28_days,exp_std_28_days,year,day_of_month,month,day_of_week,is_weekend,sin_day_of_year,cos_day_of_year,sin_day_of_week,cos_day_of_week,unix_time,temperature_max,temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_max,wind_gusts_max,wind_direction_dominant
Albuquerque,2023-02-20,12.9,12.3,22.1,14.2,5.2,3.7,3.3,12.8,10.514285714285716,11.857142857142858,10.814285714285713,6.867175200771809,12.966258233958655,7.094051833216294,7.494584125139376,12.155973855862943,6.9717140957305,5.7800880606974925,11.105149133350112,6.490130290026289,2023,20,2,0,0,0.7694148268839378,0.6387494220515272,0.0,1.0,1676847600000,14.4,2.6,0.0,0.0,0.0,0.0,20.6,37.4,249
Albuquerque,2023-02-21,12.2,12.9,12.3,22.1,14.2,5.2,3.7,3.3,10.528571428571428,12.514285714285714,10.967857142857143,6.872824331067569,12.94969367546899,6.143707260715019,7.118216840544472,12.255177341747883,6.495617530012711,5.776199799780461,11.22893195173976,6.279438722636669,2023,21,2,1,0,0.7802958510707755,0.6254105729852464,0.7818314824680297,0.6234898018587336,1676934000000,13.9,3.7,0.5,0.5,0.0,3.0,26.3,50.0,259
Albuquerque,2023-02-22,3.5,12.2,12.9,12.3,22.1,14.2,5.2,3.7,11.8,12.907142857142858,11.22857142857143,6.091524166139932,12.762270256601745,5.332147837580222,6.921701023227238,12.247820362848167,6.047122155153669,5.655666260181954,11.295902161964603,6.06421778167464,2023,22,2,2,0,0.7909456567567772,0.6118864012687244,0.9749279121818236,-0.22252093395631434,1677020400000,13.1,3.0,0.9,0.9,0.0,4.0,57.6,95.8,220
Albuquerque,2023-02-23,4.1,3.5,12.2,12.9,12.3,22.1,14.2,5.2,11.771428571428572,12.25,11.082142857142857,6.136153595892224,10.446702692451307,6.331693014184131,7.365381602730851,11.08144431446841,6.4198930246857016,5.8042164476721805,10.758253737001526,6.187525363837759,2023,23,2,3,0,0.8013610881746764,0.5981809144059165,0.43388373911755823,-0.900968867902419,1677106800000,11.3,-1.6,0.0,0.0,0.0,0.0,33.1,54.4,252
Albuquerque,2023-02-24,9.3,4.1,3.5,12.2,12.9,12.3,22.1,14.2,11.614285714285714,12.071428571428571,10.914285714285715,6.343087726396509,8.86002701933848,6.235314045031673,7.541110770195036,10.150585072539288,6.464145889954402,5.93905556064099,10.29906382410487,6.212653872815055,2023,24,2,4,0,0.811539059007361,0.5842981736283684,-0.433883739117558,-0.9009688679024191,1677193200000,12.1,-0.1,0.0,0.0,0.0,0.0,26.8,47.9,239
Albuquerque,2023-02-25,10.1,9.3,4.1,3.5,12.2,12.9,12.3,22.1,10.914285714285713,11.635714285714286,10.875,6.280241123669432,8.97002026450386,5.4038597991679955,7.510157956226517,10.037173729534048,6.02526840930108,5.946217284963586,10.23016287071833,6.000138677912314,2023,25,2,5,1,0.8214765533024142,0.5702422926917872,-0.9749279121818235,-0.2225209339563146,1677279600000,14.4,1.4,0.0,0.0,0.0,0.0,17.3,27.4,302
Albuquerque,2023-02-26,10.6,10.1,9.3,4.1,3.5,12.2,12.9,12.3,9.200000000000001,10.428571428571429,10.74642857142857,3.907684736515997,9.252515198377894,4.70962709814946,6.070917884146013,10.045550565596175,5.60926341123166,5.921741619618635,10.221186121013616,5.789638927664624,2023,26,2,6,1,0.8311706263658079,0.5560174366570446,-0.7818314824680299,0.6234898018587334,1677366000000,13.8,3.1,1.1,1.1,0.0,4.0,51.7,86.4,239
Albuquerque,2023-02-27,5.8,10.6,10.1,9.3,4.1,3.5,12.2,12.9,8.957142857142857,9.735714285714286,10.660714285714286,3.731781139910346,9.58938639878342,4.127060488112222,5.3708052888323365,10.119477156850017,5.225601770829732,5.905260635619982,10.247311216116124,5.5872851775564225,2023,27,2,0,0,0.8406184056344781,0.5416278206559814,0.0,1.0,1677452400000,9.8,-3.9,0.0,0.0,0.0,0.0,41.8,72.4,279
Albuquerque,2023-02-28,5.1,5.8,10.6,10.1,9.3,4.1,3.5,12.2,7.942857142857142,9.235714285714286,10.671428571428569,3.4345582650743536,8.642039799087565,3.989436142394858,5.389392308094615,9.543546869270015,5.09782913517014,5.895815034465945,9.940600097763287,5.511969786850571,2023,28,2,1,0,0.8498170915275278,0.5270777086423722,0.7818314824680297,0.6234898018587336,1677538800000,12.2,-1.3,0.0,0.0,0.0,0.0,27.8,50.0,258
Albuquerque,2023-03-01,6.9,5.1,5.8,10.6,10.1,9.3,4.1,3.5,6.928571428571429,9.364285714285714,10.475,2.98703547892907,7.7565298493156725,3.831598634994581,5.256732992861793,8.951073953367347,4.997997872323651,5.989164598889594,9.606765608262371,5.4632179303851185,2023,1,3,2,0,0.8587639582758029,0.5123714121284237,0.9749279121818236,-0.22252093395631434,1677625200000,13.8,-0.2,0.0,0.0,0.0,0.0,32.4,56.9,251
Albuquerque,2023-03-02,7.4,6.9,5.1,5.8,10.6,10.1,9.3,4.1,7.414285714285714,9.592857142857143,10.503571428571428,2.586135193313627,7.542397386986755,3.3423562893189454,5.057281769992536,8.677597426251701,4.708804969809306,5.969396156747367,9.420092118037381,5.317538103278128,2023,2,3,3,0,0.8674563547295968,0.4975132889071807,0.43388373911755823,-0.900968867902419,1677711600000,13.1,0.8,4.4,2.5,1.33,10.0,32.9,60.8,304
Albuquerque,2023-03-03,9.6,7.4,6.9,5.1,5.8,10.6,10.1,9.3,7.885714285714286,9.75,10.496428571428572,2.1443169630666348,7.506798040240067,2.895331547642377,4.943177115985218,8.507251102751473,4.406766399608411,5.97311768849691,9.2807754202417,5.1573109196041695,2023,3,3,4,0,0.8758917051442429,0.48250774176121847,-0.433883739117558,-0.9009688679024191,1677798000000,11.2,-3.1,0.0,0.0,0.0,0.0,34.9,60.5,293
Albuquerque,2023-03-04,9.4,9.6,7.4,6.9,5.1,5.8,10.6,10.1,7.928571428571429,9.421428571428573,10.4,2.179995631275675,8.03009853018005,2.6917764557592623,4.7746411176336325,8.652950955717943,4.120547360570334,5.964711038916935,9.302790908500892,4.976977654607133,2023,4,3,5,1,0.8840675099433636,0.4673592171580022,-0.9749279121818235,-0.2225209339563146,1677884400000,14.6,-1.4,0.0,0.0,0.0,0.0,21.1,40.7,257
Albuquerque,2023-03-05,5.7,9.4,9.6,7.4,6.9,5.1,5.8,10.6,7.828571428571429,8.514285714285714,10.171428571428573,2.0774297306321485,8.372573897635037,2.417593470050728,3.0896495053539663,8.752557494955552,3.8450625546565096,5.872021365818989,9.309494983776693,4.802357628715075,2023,5,3,6,1,0.8919813464595485,0.45207220393230435,-0.7818314824680299,0.6234898018587334,1677970800000,18.0,4.1,0.0,0.0,0.0,0.0,25.7,45.0,226
Albuquerque,2023-03-06,7.7,5.7,9.4,9.6,7.4,6.9,5.1,5.8,7.128571428571428,8.042857142857143,9.950000000000001,1.79417045429014,7.7044304232262775,2.438446964403054,2.9687382157082376,8.345549828961477,3.7380242451377566,5.921117261938782,9.060564295240368,4.726483133200155,2023,6,3,0,0,0.8996308696522433,0.43665123195606403,0.0,1.0,1678057200000,19.1,6.8,0.0,0.0,0.0,0.0,25.1,41.0,231
Albuquerque,2023-03-07,8.6,7.7,5.7,9.4,9.6,7.4,6.9,5.1,7.4,7.671428571428572,10.092857142857142,1.7009801096230976,7.703322817419708,2.111758033587663,2.6189923404089623,8.259476518433281,3.4873546124681654,5.811988158040769,8.966732274878963,4.574083521295416,2023,7,3,1,0,0.9070138128026359,0.4211008707960896,0.7818314824680297,0.6234898018587336,1678143600000,19.4,6.5,0.0,0.0,0.0,0.0,23.4,38.5,215
Albuquerque,2023-03-08,7.0,8.6,7.7,5.7,9.4,9.6,7.4,6.9,7.9,7.414285714285714,10.160714285714286,1.4000000000000274,7.9274921130647815,1.8763056920985857,2.297107593627959,8.304879649308843,3.248772077376679,5.781921972244305,8.941440393852828,4.414553483836906,2023,8,3,2,0,0.9141279881853337,0.40542572835999735,0.9749279121818236,-0.22252093395631434,1678230000000,21.4,5.1,0.0,0.0,0.0,0.0,27.3,53.6,201
Albuquerque,2023-03-09,5.9,7.0,8.6,7.7,5.7,9.4,9.6,7.4,7.9142857142857155,7.664285714285714,9.957142857142857,1.3885586909077035,7.695619084798587,1.6818353492485048,2.0109726475044174,8.130895696067663,3.0592717414238852,5.789545403469583,8.80754795289746,4.2889676592359764,2023,9,3,3,0,0.9209712877166346,0.38963044953078796,0.43388373911755823,-0.900968867902419,1678316400000,21.1,6.2,0.0,0.0,0.0,0.0,27.5,50.8,269
Albuquerque,2023-03-10,9.6,5.9,7.0,8.6,7.7,5.7,9.4,9.6,7.7,7.792857142857143,9.932142857142859,1.583245611605079,7.24671431359894,1.6812887420388873,1.8133964247804533,7.833442936591974,2.9547596831207796,5.806066659358111,8.607027404421773,4.205891696015735,2023,10,3,4,0,0.9275416835791966,0.37371971479046906,-0.433883739117558,-0.9009688679024191,1678402800000,21.7,3.5,0.0,0.0,0.0,0.0,29.2,47.9,274
Albuquerque,2023-03-11,4.0,9.6,5.9,7.0,8.6,7.7,5.7,9.4,7.7,7.814285714285715,9.725,1.583245611605079,7.835035735199204,1.825233192903903,1.8342288854980833,8.068983878379711,2.820439840486643,5.706372331454109,8.67550827308234,4.066351255278383,2023,11,3,5,1,0.9338372288229252,0.35769823883312546,-0.9749279121818235,-0.2225209339563146,1678489200000,21.9,8.3,0.0,0.0,0.0,0.0,39.7,67.7,268
Albuquerque,2023-03-12,3.9,4.0,9.6,5.9,7.0,8.6,7.7,5.7,6.928571428571429,7.378571428571428,8.903571428571428,1.9006264631381455,6.876276801399404,2.39078911289806,1.9690601316866219,7.52645269459575,2.99242555556691,4.692979953777848,8.353059426662867,4.104933454538336,2023,12,3,6,1,0.9398560579418954,0.3415707691678556,-0.7818314824680299,0.6234898018587334,1678575600000,18.0,5.4,0.0,0.0,0.0,0.0,33.8,60.8,289
Albuquerque,2023-03-13,9.1,3.9,4.0,9.6,5.9,7.0,8.6,7.7,6.671428571428572,6.8999999999999995,8.317857142857143,2.1937139632096554,6.1322076010495525,2.494923014633187,1.9398651816754833,7.042925668649649,3.0654936478927124,4.217253237324599,8.045951879996462,4.124171107299255,2023,13,3,0,0,0.9455963874271426,0.3253420847119801,0.0,1.0,1678662000000,16.2,4.5,0.1,0.1,0.0,1.0,18.3,43.6,304
Albuquerque,2023-03-14,8.0,9.1,3.9,4.0,9.6,5.9,7.0,8.6,6.871428571428572,7.135714285714286,8.185714285714285,2.3605891112984945,6.874155700787165,2.568109241479935,1.995613321130239,7.3172022461630295,2.94463545305272,4.128645575211588,8.11864485378981,3.9887024538184166,2023,14,3,1,0,0.9510565162951535,0.30901699437494745,0.7818314824680297,0.6234898018587336,1678748400000,16.5,4.1,0.2,0.2,0.0,2.0,20.0,29.2,324
Albuquerque,2023-03-15,5.9,8.0,9.1,3.9,4.0,9.6,5.9,7.0,6.785714285714286,7.3428571428571425,8.353571428571428,2.2974105506189573,7.155616775590374,2.2855327574405506,1.9170146204306815,7.408241946674625,2.751868180105354,4.016676546124969,8.110462450080169,3.848825878109656,2023,15,3,2,0,0.9562348265919056,0.29260033563334836,0.9749279121818236,-0.22252093395631434,1678834800000,19.4,7.6,0.3,0.3,0.0,2.0,25.3,43.9,229
Albuquerque,2023-03-16,1.7,5.9,8.0,9.1,3.9,4.0,9.6,5.9,6.628571428571428,7.271428571428572,8.432142857142857,2.3178397167149014,6.84171258169278,2.064611449961735,1.9530759059763727,7.207143020451341,2.6165167934010944,3.9431190485056056,7.958016763867743,3.7572860266767787,2023,16,3,3,0,0.9611297838723007,0.27609697309746883,0.43388373911755823,-0.900968867902419,1678921200000,15.5,6.6,3.7,3.7,0.0,12.0,33.5,56.2,254
Albuquerque,2023-03-17,6.0,1.7,5.9,8.0,9.1,3.9,4.0,9.6,6.028571428571429,6.864285714285714,8.307142857142859,2.985361109209572,5.556284436269585,2.9966822719711588,2.454072641034177,6.4728572843911625,3.115696964522281,4.101664393103211,7.526429400842381,3.968796483995381,2023,17,3,4,0,0.9657399376548549,0.2595117970697999,-0.433883739117558,-0.9009688679024191,1679007600000,13.7,-0.7,4.4,1.5,2.03,17.0,20.1,45.0,103
Albuquerque,2023-03-18,9.8,6.0,1.7,5.9,8.0,9.1,3.9,4.0,5.514285714285714,6.607142857142857,8.014285714285714,2.545210254202055,5.667213327202188,2.6034874198490088,2.330884376802485,6.409809646472341,2.9053485615267536,3.955466380303876,7.421158407680837,3.8497004542655318,2023,18,3,5,1,0.9700639218515071,0.2428497220959356,-0.9749279121818235,-0.2225209339563146,1679094000000,7.4,-1.2,0.1,0.1,0.0,1.0,12.8,24.5,47
Albuquerque,2023-03-19,11.8,9.8,6.0,1.7,5.9,8.0,9.1,3.9,6.3428571428571425,6.635714285714286,7.575,2.890707608214732,6.700409995401642,2.969822183584165,2.3698773557546415,6.861835026942696,2.9573409522005427,2.8662305869866396,7.585216448530434,3.7649597397491066,2023,19,3,6,1,0.9741004551724205,0.22611568550828828,-0.7818314824680299,0.6234898018587334,1679180400000,9.6,-3.3,0.0,0.0,0.0,0.0,24.5,44.3,162
Albuquerque,2023-03-20,11.5,11.8,9.8,6.0,1.7,5.9,8.0,9.1,7.471428571428571,7.071428571428571,7.557142857142857,3.2922708908969947,7.975307496551232,3.5076567087034904,2.7195668691988235,7.520257023350338,3.2579728028373798,2.8371123258000113,7.875891176217991,3.792126868615291,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0,1679266800000,11.0,3.3,0.6,0.6,0.0,5.0,21.0,38.9,188
Albuquerque,2023-03-21,7.3,11.5,11.8,9.8,6.0,1.7,5.9,8.0,7.814285714285715,7.342857142857143,7.507142857142858,3.6006613149200772,8.856480622413423,3.456207887509165,2.9656272616336987,8.05088942023696,3.3421745013095587,2.7504785538397276,8.125829715789164,3.776646168291999,2023,21,3,1,0,0.9813064702716093,0.19245158197082995,0.7818314824680297,0.6234898018587336,1679353200000,11.4,3.7,3.0,3.0,0.0,16.0,20.2,37.4,254
Albuquerque,2023-03-22,8.8,7.3,11.5,11.8,9.8,6.0,1.7,5.9,7.714285714285714,7.25,7.332142857142856,3.6043624361915447,8.467360466810067,3.0804188766301173,2.9435065430928984,7.950770830872031,3.1226504449155987,2.5921610563001214,8.068875942286462,3.6503163532871445,2023,22,3,2,0,0.9844738167520922,0.1755314904214282,0.9749279121818236,-0.22252093395631434,1679439600000,18.2,4.1,0.8,0.8,0.0,4.0,39.5,70.6,215
Albuquerque,2023-03-23,2.6,8.8,7.3,11.5,11.8,9.8,6.0,1.7,8.12857142857143,7.378571428571428,7.521428571428571,3.5269034037024176,8.55052035010755,2.6722536974040363,2.970930590139815,8.06400138675576,2.9224249872005625,2.4936002743106864,8.119298291094292,3.5272440923245525,2023,23,3,3,0,0.9873494423939864,0.15855938510313475,0.43388373911755823,-0.900968867902419,1679526000000,15.7,4.9,2.3,2.3,0.0,10.0,33.6,58.3,300
