city_name,date,pm2_5,pm_2_5_previous_1_day,pm_2_5_previous_2_day,pm_2_5_previous_3_day,pm_2_5_previous_4_day,pm_2_5_previous_5_day,pm_2_5_previous_6_day,pm_2_5_previous_7_day,mean_7_days,mean_14_days,mean_28_days,std_7_days,exp_mean_7_days,exp_std_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,std_28_days,exp_mean_28_days,exp_std_28_days,year,day_of_month,month,day_of_week,is_weekend,sin_day_of_year,cos_day_of_year,sin_day_of_week,cos_day_of_week
Tampa,2023-03-20,4.5,8.9,7.1,7.7,7.8,6.9,4.9,8.9,7.457142857142856,8.392857142857142,9.4,1.373386499202057,7.998731970613734,1.4370128903591661,1.5657214044917183,8.405877985297014,1.9202195746481776,2.4939927826679855,8.865510164108857,2.2420287484235635,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Stockholm,2023-03-20,5.0,10.0,18.0,7.0,11.0,3.0,2.0,2.0,7.571428571428571,6.071428571428571,5.285714285714286,5.912053869204928,9.080350308143668,5.627377835118312,4.428305557421497,7.257174166161801,5.094959883649985,3.4625738966003294,6.187319095500806,4.400495313567471,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Marseille,2023-03-20,6.0,7.0,11.0,6.0,6.0,3.0,4.0,6.0,6.142857142857143,10.785714285714286,15.857142857142858,2.5448360411213704,7.764682256854597,5.250420986142464,8.621784318525084,10.252522959148632,8.841633114558471,10.462328491321493,12.950240474803858,10.318517474491198,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
London,2023-03-20,7.0,5.0,7.0,8.0,6.0,6.0,5.0,11.0,6.857142857142857,7.714285714285714,7.928571428571429,2.115700942049818,6.675632577629858,1.7745608565964512,1.9386185179765911,7.227272939944249,2.1309562346059954,2.9177435653647685,7.593614289349483,2.452243696298641,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Madrid,2023-03-20,7.0,5.0,3.0,7.0,9.0,8.0,6.0,11.0,7.0,6.285714285714286,9.214285714285714,2.645751311064595,6.082860752141615,2.5054504466899763,2.367360472001596,6.868770207022427,3.2159170868601503,5.425298372795955,7.754197414568618,4.175794898318396,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
München,2023-03-20,7.0,12.0,12.0,11.0,8.0,5.0,3.0,3.0,7.714285714285714,8.0,12.0,4.070801956792858,9.505334366708993,4.3390663640511145,4.38529009653515,9.678123726612776,6.383323576893553,8.326663997864532,10.67244793170541,7.654062524004022,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Atlanta,2023-03-20,7.3,6.6,8.5,14.8,19.8,6.7,9.1,8.3,10.542857142857143,11.635714285714286,10.107142857142858,4.923026556518913,10.458367731544602,4.924746962016695,4.868044488586475,10.793400297940945,4.7083346885957065,3.9446098780420717,10.64233220206419,4.422762004155112,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Sevilla,2023-03-20,8.0,6.0,4.0,7.0,9.0,8.0,5.0,9.0,6.857142857142857,6.5,8.607142857142858,1.951800145897071,6.502389364333355,2.0554562226029005,2.028641076037008,7.106192656903082,2.717402794761473,3.9000406998283306,7.719849341011814,3.306120249955009,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
San Francisco,2023-03-20,8.3,23.0,27.6,14.9,16.9,9.6,5.8,6.5,14.899999999999997,12.62857142857143,13.37142857142857,8.290154803540556,17.590588581248767,7.984578835404633,6.499399803227817,14.820410230427674,7.534944731119863,8.076250374141463,13.63973934886464,7.279300778824634,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Chicago,2023-03-20,8.5,7.0,5.5,8.0,12.7,20.7,4.7,7.7,9.471428571428572,10.842857142857143,12.74642857142857,5.574559559796121,9.098938373837527,4.983214423598402,5.310615535193387,10.541240685353996,5.6350597154198185,5.923054901406821,11.666110596482584,5.894896439182113,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Dallas,2023-03-20,8.5,6.2,11.0,9.7,7.9,11.7,7.0,9.2,8.957142857142857,11.185714285714285,11.625,2.0354009783964226,9.31355067579885,2.9131458326906703,3.4682864629397296,10.374538958034893,3.3453765780906624,3.5316164591890233,11.085630704588146,3.498164651843211,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Columbus,2023-03-20,8.9,5.0,8.3,10.9,7.7,7.7,4.1,7.2,7.271428571428572,7.028571428571429,7.875,2.2291360701059983,7.216007828899566,2.349590130417378,2.229325034599063,7.331479400836082,2.3784583984629055,2.6417761982199552,7.5434714969113035,2.4963124626589566,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Amsterdam,2023-03-20,9.0,15.0,15.0,12.0,6.0,4.0,5.0,10.0,9.571428571428571,7.857142857142857,9.107142857142858,4.649628761422531,10.878853971802036,4.782341727002943,4.185269826006858,9.326791611123308,4.939029525287382,6.361570302965826,8.82606858338693,5.3575872775672,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Houston,2023-03-20,9.9,8.9,6.1,11.2,11.0,13.5,8.3,9.8,9.828571428571427,11.05,11.207142857142857,2.3746678965799837,9.773980964226624,2.7426702857131615,2.7667670664513846,10.49996359766692,2.809400366802511,2.90656072327678,10.894102690357064,2.8159971050350956,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Paris,2023-03-20,11.0,5.0,4.0,9.0,6.0,6.0,5.0,4.0,5.571428571428571,6.857142857142857,12.892857142857142,1.7182493859684194,6.05387969080616,2.960951046335458,3.0091435749968922,7.678411235393718,5.692758561694652,9.378222550198847,9.768922871882316,7.6938817950178064,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
New York,2023-03-20,11.3,8.7,15.2,26.5,11.1,4.4,5.5,17.7,12.728571428571428,11.535714285714286,13.235714285714286,7.756441255652039,12.960097770182534,7.223508931355148,6.472380033396006,12.621476458829958,6.676278589565337,5.842387531094807,12.666174319868809,6.243431911445494,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Albuquerque,2023-03-20,11.5,11.8,9.8,6.0,1.7,5.9,8.0,9.1,7.471428571428572,7.071428571428571,7.557142857142857,3.2922708908969844,7.973722469934364,3.5048036669856333,2.719566869198835,7.434365849207046,3.082342812855698,2.837112325800011,7.370952498371643,2.8603922553020684,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Tallinn,2023-03-20,13.0,7.0,4.0,8.0,2.0,2.0,3.0,1.0,3.857142857142857,3.357142857142857,3.8214285714285716,2.672612419124245,4.576094529276279,2.590621450675602,1.9848325973644325,3.8405721441209533,2.481825713639025,2.994483464127197,3.6167097537319113,2.56879764211461,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Berlin,2023-03-20,14.0,18.0,13.0,10.0,6.0,6.0,4.0,7.0,9.142857142857142,9.714285714285714,10.392857142857142,4.913538149119957,11.339827221536378,5.243283419935205,4.547671786894772,10.359414830820347,4.867306969912199,4.961625224432501,10.21341043197475,4.790936923308786,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Salt Lake City,2023-03-20,14.4,16.9,27.0,20.1,16.0,5.3,17.4,21.1,17.685714285714287,17.7,15.971428571428572,6.5978351427895365,18.5441873293156,6.286761872483404,5.9508241187509245,17.624347940408278,6.330312845368636,7.237856094629184,16.840081500540663,6.583135864959745,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Wien,2023-03-20,16.0,16.0,10.0,9.0,8.0,4.0,6.0,8.0,8.714285714285714,8.571428571428571,11.642857142857142,3.7733400639347634,10.124417977702292,4.762224907205842,4.0896545973070575,10.016256274600764,6.035233643398582,8.376396669452872,10.733846547696176,7.277323551542246,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Varna,2023-03-20,16.7,14.0,10.1,5.7,13.4,12.8,7.8,7.8,10.228571428571428,10.742857142857144,10.842857142857143,3.2458765050005054,10.818963491556204,3.462870764618583,3.27031268458309,10.818984258579281,3.6452165482723795,3.924701316441854,10.9313386319961,3.8173542762261676,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
Denver,2023-03-20,17.6,11.6,12.4,14.7,6.2,9.4,10.8,12.8,11.12857142857143,11.442857142857145,11.482142857142858,2.7317358862783463,11.47480860323751,2.616407908199899,2.9429744988869513,11.43533426128131,2.7595785834752213,3.0388903398040705,11.45317384780203,2.8863944308042537,2023,20,3,0,0,0.9778483415056568,0.20931464596304847,0.0,1.0
