houseid,longitude,latitude
0,-122.23,37.88
1,-122.22,37.86
2,-122.24,37.85
3,-122.25,37.85
4,-122.25,37.85
5,-122.25,37.85
6,-122.25,37.84
7,-122.25,37.84
8,-122.26,37.84
9,-122.25,37.84
10,-122.26,37.85
11,-122.26,37.85
12,-122.26,37.85
13,-122.26,37.84
14,-122.26,37.85
15,-122.26,37.85
16,-122.27,37.85
17,-122.27,37.85
18,-122.26,37.84
19,-122.27,37.84
20,-122.27,37.85
21,-122.27,37.85
22,-122.27,37.84
23,-122.27,37.84
24,-122.27,37.84
25,-122.28,37.85
26,-122.28,37.85
27,-122.28,37.85
28,-122.28,37.84
29,-122.28,37.84
30,-122.28,37.84
31,-122.28,37.84
32,-122.27,37.84
33,-122.27,37.83
34,-122.27,37.83
35,-122.27,37.83
36,-122.27,37.83
37,-122.28,37.83
38,-122.26,37.83
39,-122.26,37.83
40,-122.26,37.83
41,-122.26,37.83
42,-122.26,37.84
43,-122.26,37.84
44,-122.26,37.83
45,-122.26,37.83
46,-122.26,37.83
47,-122.27,37.82
48,-122.26,37.82
49,-122.27,37.82
50,-122.27,37.82
51,-122.27,37.82
52,-122.27,37.82
53,-122.27,37.82
54,-122.28,37.82
55,-122.28,37.82
56,-122.28,37.82
57,-122.28,37.82
58,-122.28,37.82
59,-122.29,37.82
60,-122.29,37.83
61,-122.29,37.82
62,-122.29,37.81
63,-122.3,37.81
64,-122.3,37.81
65,-122.3,37.81
66,-122.3,37.81
67,-122.29,37.8
68,-122.3,37.81
69,-122.29,37.81
70,-122.29,37.81
71,-122.29,37.81
72,-122.29,37.81
73,-122.29,37.81
74,-122.29,37.81
75,-122.28,37.81
76,-122.28,37.81
77,-122.28,37.81
78,-122.29,37.81
79,-122.28,37.8
80,-122.28,37.81
81,-122.27,37.81
82,-122.28,37.81
83,-122.28,37.81
84,-122.28,37.81
85,-122.28,37.81
86,-122.27,37.81
87,-122.27,37.81
88,-122.27,37.8
89,-122.27,37.8
90,-122.27,37.8
91,-122.28,37.8
92,-122.28,37.8
93,-122.27,37.79
94,-122.27,37.8
95,-122.26,37.8
96,-122.26,37.82
97,-122.26,37.81
98,-122.26,37.82
99,-122.26,37.82
100,-122.25,37.81
101,-122.25,37.81
102,-122.25,37.81
103,-122.25,37.81
104,-122.26,37.81
105,-122.24,37.82
106,-122.24,37.81
107,-122.25,37.81
108,-122.24,37.82
109,-122.25,37.82
110,-122.25,37.82
111,-122.25,37.82
112,-122.25,37.82
113,-122.25,37.83
114,-122.25,37.83
115,-122.25,37.83
116,-122.25,37.83
117,-122.25,37.83
118,-122.23,37.84
119,-122.23,37.84
120,-122.24,37.83
121,-122.24,37.85
122,-122.23,37.85
123,-122.24,37.84
124,-122.24,37.85
125,-122.22,37.85
126,-122.22,37.84
127,-122.21,37.84
128,-122.21,37.83
129,-122.2,37.84
130,-122.21,37.84
131,-122.19,37.84
132,-122.2,37.84
133,-122.21,37.83
134,-122.19,37.83
135,-122.2,37.83
136,-122.19,37.83
137,-122.19,37.82
138,-122.2,37.82
139,-122.2,37.82
140,-122.18,37.81
141,-122.21,37.82
142,-122.2,37.81
143,-122.21,37.8
144,-122.21,37.8
145,-122.21,37.81
146,-122.22,37.81
147,-122.22,37.8
148,-122.22,37.8
149,-122.22,37.8
150,-122.22,37.81
151,-122.22,37.81
152,-122.23,37.8
153,-122.23,37.81
154,-122.22,37.81
155,-122.23,37.81
156,-122.24,37.81
157,-122.24,37.81
158,-122.23,37.81
159,-122.24,37.81
160,-122.24,37.8
161,-122.25,37.8
162,-122.24,37.81
163,-122.25,37.81
164,-122.25,37.8
165,-122.25,37.8
166,-122.25,37.8
167,-122.25,37.8
168,-122.24,37.79
169,-122.25,37.79
170,-122.25,37.79
171,-122.25,37.79
172,-122.25,37.8
173,-122.25,37.8
174,-122.24,37.8
175,-122.24,37.8
176,-122.24,37.8
177,-122.24,37.8
178,-122.23,37.8
179,-122.24,37.8
180,-122.24,37.8
181,-122.23,37.8
182,-122.23,37.8
183,-122.23,37.8
184,-122.23,37.8
185,-122.23,37.79
186,-122.23,37.79
187,-122.23,37.79
188,-122.24,37.79
189,-122.24,37.79
190,-122.24,37.79
191,-122.24,37.79
192,-122.25,37.79
193,-122.25,37.79
194,-122.25,37.79
195,-122.26,37.8
196,-122.22,37.77
197,-122.22,37.77
198,-122.23,37.77
199,-122.23,37.78
200,-122.23,37.78
201,-122.22,37.78
202,-122.23,37.78
203,-122.23,37.78
204,-122.23,37.78
205,-122.23,37.79
206,-122.23,37.79
207,-122.22,37.79
208,-122.23,37.79
209,-122.23,37.79
210,-122.22,37.79
211,-122.22,37.79
212,-122.21,37.79
213,-122.22,37.79
214,-122.22,37.79
215,-122.22,37.79
216,-122.2,37.79
217,-122.21,37.79
218,-122.21,37.79
219,-122.21,37.79
220,-122.21,37.8
221,-122.21,37.8
222,-122.2,37.8
223,-122.2,37.8
224,-122.21,37.8
225,-122.2,37.8
226,-122.21,37.8
227,-122.19,37.8
228,-122.19,37.8
229,-122.19,37.79
230,-122.2,37.79
231,-122.2,37.8
232,-122.19,37.8
233,-122.19,37.79
234,-122.19,37.79
235,-122.2,37.79
236,-122.2,37.79
237,-122.2,37.79
238,-122.21,37.79
239,-122.2,37.79
240,-122.21,37.78
241,-122.21,37.78
242,-122.21,37.78
243,-122.21,37.78
244,-122.22,37.78
245,-122.21,37.78
246,-122.21,37.78
247,-122.22,37.77
248,-122.22,37.78
249,-122.22,37.78
250,-122.22,37.78
251,-122.21,37.76
252,-122.21,37.77
253,-122.21,37.77
254,-122.2,37.77
255,-122.21,37.77
256,-122.21,37.77
257,-122.19,37.77
258,-122.2,37.77
259,-122.2,37.77
260,-122.2,37.78
261,-122.2,37.78
262,-122.2,37.78
263,-122.2,37.77
264,-122.21,37.78
265,-122.19,37.78
266,-122.19,37.77
267,-122.19,37.77
268,-122.19,37.78
269,-122.19,37.78
270,-122.18,37.78
271,-122.19,37.78
272,-122.19,37.78
273,-122.2,37.78
274,-122.18,37.79
275,-122.18,37.79
276,-122.18,37.79
277,-122.19,37.79
278,-122.19,37.79
279,-122.18,37.81
280,-122.18,37.8
281,-122.18,37.8
282,-122.13,37.77
283,-122.16,37.79
284,-122.17,37.78
285,-122.17,37.77
286,-122.18,37.78
287,-122.18,37.78
288,-122.17,37.78
289,-122.17,37.78
290,-122.16,37.77
291,-122.16,37.77
292,-122.16,37.77
293,-122.16,37.77
294,-122.17,37.77
295,-122.17,37.77
296,-122.17,37.76
297,-122.17,37.76
298,-122.18,37.76
299,-122.17,37.76
300,-122.18,37.76
301,-122.18,37.76
302,-122.18,37.76
303,-122.18,37.77
304,-122.18,37.77
305,-122.18,37.76
306,-122.19,37.76
307,-122.18,37.77
308,-122.18,37.77
309,-122.18,37.77
310,-122.19,37.76
311,-122.2,37.76
312,-122.19,37.77
313,-122.19,37.77
314,-122.19,37.76
315,-122.19,37.76
316,-122.2,37.75
317,-122.2,37.76
