,date,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,unix,mean_7_days,mean_14_days,mean_56_days,signal,std_7_days,exp_mean_7_days,exp_std_7_days,momentum_7_days,rate_of_change_7_days,strength_index_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,momentum_14_days,rate_of_change_14_days,strength_index_14_days,std_56_days,exp_mean_56_days,exp_std_56_days,momentum_56_days,rate_of_change_56_days,strength_index_56_days
0,2021-02-06,38289.32,40955.51,38215.94,39186.94,98757.311183,3922095148.928151,2291646,52015.513362,2065180747.347224,1612562400000,0.0,0.0,0.0,0.0,0.0,39186.94,0.0,0.0,0.0,0.0,0.0,39186.94,0.0,0.0,0.0,0.0,0.0,39186.94,0.0,0.0,0.0,0.0
1,2021-02-07,39181.01,39700.0,37351.0,38795.69,84363.679763,3256521384.240611,1976357,40764.388959,1574482907.563902,1612648800000,0.0,0.0,0.0,0.0,0.0,38963.368571428575,276.65552813923676,0.0,0.0,0.0,0.0,38977.341785714285,276.6555281392367,0.0,0.0,0.0,0.0,38987.82169642858,276.65552813923676,0.0,0.0,0.0
2,2021-02-08,38795.69,46794.45,37988.89,46374.87,138597.536914,5881536976.635699,3230961,72345.891568,3069313839.441136,1612735200000,0.0,0.0,0.0,0.0,0.0,42168.34216216217,4562.5935796988815,0.0,0.0,0.0,0.0,41803.222682512736,4421.134890188198,0.0,0.0,0.0,0.0,41538.626238707635,4306.962345990445,0.0,0.0,0.0
3,2021-02-09,46374.86,48142.19,44961.09,46420.42,115499.861712,5386255398.017187,3119034,57429.564347,2679451036.491804,1612821600000,0.0,0.0,0.0,0.0,0.0,43723.38777142857,4195.3372713752215,0.0,0.0,0.0,0.0,43215.75358774474,4262.24916897176,0.0,0.0,0.0,0.0,42825.22004995106,4279.624725723493,0.0,0.0,0.0
4,2021-02-10,46420.42,47310.0,43727.0,44807.58,97154.1822,4431650130.251105,2891592,47971.985731,2190231238.817587,1612908000000,0.0,0.0,0.0,0.0,0.0,44078.769603072986,3391.3286798032345,0.0,0.0,0.0,0.0,43631.05866306605,3636.7653034531013,0.0,0.0,0.0,0.0,43250.507856548844,3783.7169306681585,0.0,0.0,0.0
5,2021-02-11,44807.58,48678.9,43994.02,47969.51,89561.081454,4185630934.410895,2570949,46138.33674,2158335922.692323,1612994400000,0.0,0.0,0.0,0.0,0.0,45262.05388179389,3429.225933904966,0.0,0.0,0.0,0.0,44634.89895474522,3720.23843394654,0.0,0.0,0.0,0.0,44108.87215528157,3901.879538262077,0.0,0.0,0.0
6,2021-02-12,47968.66,48985.8,46125.0,47287.6,85870.035697,4080571908.967661,2418841,41841.039135,1990472918.9285848,1613080800000,44406.08714285714,0.0,0.0,1.0,3825.615225388437,45846.447549482284,3036.267111513497,0.0,20.67183607599878,0.0,0.0,45193.87930884814,3467.2407483689094,0.0,0.0,0.0,0.0,44613.05058760666,3745.6506218364057,0.0,0.0,0.0
7,2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.097399,3007710147.4181595,2058823,30996.309859,1462495399.9928117,1613167200000,45544.194285714286,0.0,0.0,1.0,3137.270591819465,46209.616015938955,2640.9388956195576,7966.75,21.543630233152186,79.27537946741907,0.0,45577.189421496565,3192.123628436823,0.0,0.0,0.0,0.0,44971.71823913849,3563.688114348637,0.0,0.0,0.0
8,2021-02-14,47156.78,49707.43,47014.17,48577.79,73735.475533,3584808348.8347325,2090070,38752.156681,1884009921.0628607,1613253600000,46941.637142857144,0.0,0.0,1.0,1227.821084166515,46849.72164207852,2522.564997585614,9782.099999999999,4.750245121980931,81.53061104190328,0.0,46129.66973796524,3121.531947532511,0.0,0.0,0.0,0.0,45431.96977336721,3540.8454502731424,0.0,0.0,0.0
9,2021-02-15,48580.47,49010.92,45570.79,47911.1,79398.156784,3782219060.664722,2313155,38176.364661,1819251655.7814271,1613340000000,47161.09857142857,0.0,0.0,1.0,1246.779698201589,47130.900395421246,2214.608106713183,1536.229999999996,3.211259182919931,76.95676439066567,0.0,46441.818453362845,2910.132575263936,0.0,0.0,0.0,0.0,45721.58475240906,3412.1520084516137,0.0,0.0,0.0
10,2021-02-16,47911.1,50689.18,47003.62,49133.45,88813.266298,4349983777.692368,2199849,45608.603838,2236524604.988356,1613426400000,47548.67428571429,0.0,0.0,1.0,1391.4511948904033,47653.6147066047,2126.2914644988587,2713.029999999999,9.654326343890911,79.42567275647596,0.0,46894.493269377344,2849.935068203546,0.0,0.0,0.0,0.0,46090.04723701265,3393.780601806364,0.0,0.0,0.0
