,ride_id,taxi_id,driver_id,pickup_datetime,payment_type,tip,tolls,total_fare
0,1,2013000185,2013000185,1577880020,CASH,33.0,0.0,118.0
1,2,2013000108,2013000108,1577880040,CARD,14.0,0.0,48.0
2,3,2013000134,2013000134,1577880060,CASH,12.0,0.0,41.0
3,4,2013000062,2013000062,1577880080,CARD,13.0,0.0,44.0
4,5,2013000087,2013000087,1577880100,CASH,14.0,0.0,46.0
5,6,2013000011,2013000011,1577880120,CARD,34.0,0.0,121.0
6,7,2013000036,2013000036,1577880140,CASH,23.0,0.0,80.0
7,8,2013000164,2013000164,1577880160,CARD,33.0,0.0,117.0
8,9,2013000189,2013000189,1577880180,CASH,22.0,0.0,76.0
9,10,2013000113,2013000113,1577880200,CARD,23.0,3.0,84.0
10,11,2013000138,2013000138,1577880220,CASH,34.0,0.0,122.0
11,12,2013000066,2013000066,1577880240,CARD,24.0,0.0,85.0
12,13,2013000092,2013000092,1577880260,CASH,35.0,0.0,125.0
13,14,2013000015,2013000015,1577880280,CARD,12.0,0.0,39.0
14,15,2013000041,2013000041,1577880300,CASH,15.0,0.0,50.0
15,16,2013000151,2013000151,1577880320,CARD,36.0,0.0,128.0
16,17,2013000176,2013000176,1577880340,CASH,26.0,0.0,92.0
17,18,2013000100,2013000100,1577880360,CARD,19.0,0.0,66.0
18,19,2013000125,2013000125,1577880380,CASH,30.0,0.0,106.0
19,20,2013000053,2013000053,1577880400,CARD,20.0,3.0,73.0
20,21,2013000078,2013000078,1577880420,CASH,31.0,0.0,110.0
21,22,2013000002,2013000002,1577880440,CARD,16.0,0.0,55.0
22,23,2013000027,2013000027,1577880460,CASH,2.0,0.0,80.0
23,24,2013000155,2013000155,1577880480,CARD,15.0,0.0,52.0
24,25,2013000181,2013000181,1577880500,CASH,13.0,0.0,44.0
25,26,2013000104,2013000104,1577880520,CARD,36.0,0.0,127.0
26,27,2013000130,2013000130,1577880540,CASH,25.0,0.0,88.0
27,28,2013000057,2013000057,1577880560,CARD,35.0,0.0,124.0
28,29,2013000083,2013000083,1577880580,CASH,24.0,0.0,84.0
29,30,2013000006,2013000006,1577880600,CARD,21.0,3.0,76.0
30,31,2013000032,2013000032,1577880620,CASH,32.0,0.0,115.0
31,32,2013000177,2013000177,1577880640,CARD,28.0,0.0,100.0
32,33,2013000003,2013000003,1577880660,CASH,18.0,0.0,62.0
33,34,2013000126,2013000126,1577880680,CARD,28.0,0.0,99.0
34,35,2013000152,2013000152,1577880700,CASH,37.0,0.0,131.0
35,36,2013000079,2013000079,1577880720,CARD,29.0,0.0,103.0
36,37,2013000105,2013000105,1577880740,CASH,37.0,0.0,131.0
37,38,2013000028,2013000028,1577880760,CARD,1.0,0.0,21.0
38,39,2013000054,2013000054,1577880780,CASH,18.0,0.0,63.0
39,40,2013000182,2013000182,1577880800,CARD,7.0,2.0,25.0
40,41,2013000007,2013000007,1577880820,CASH,19.0,0.0,67.0
41,42,2013000130,2013000130,1577880840,CARD,27.0,0.0,96.0
42,43,2013000156,2013000156,1577880860,CASH,17.0,0.0,58.0
43,44,2013000084,2013000084,1577880880,CARD,26.0,0.0,91.0
44,45,2013000109,2013000109,1577880900,CASH,16.0,0.0,55.0
45,46,2013000033,2013000033,1577880920,CARD,30.0,0.0,107.0
46,47,2013000058,2013000058,1577880940,CASH,36.0,0.0,129.0
47,48,2013000168,2013000168,1577880960,CARD,11.0,0.0,36.0
48,49,2013000194,2013000194,1577880980,CASH,15.0,0.0,53.0
